num,timestamp,time_diff,packet_size,packet_direct,tcp_seq,tcp_size,tcp_ack,nvme_packet_type,nvme_packet_pdo,nvme_packet_plen,nvme_cid,nvme_opc,remain_data
188,1732679020.5649836,0.0016508102416992188,68,0,793691436,0,594324974,-1,-1,-1,-1,-1,0
189,1732679020.5661447,0.0011610984802246094,140,0,518255425,72,4155632713,4,0,72,33,2,0
190,1732679020.5722306,0.006085872650146484,1516,1,4155632713,1448,518255497,-1,-1,-1,-1,-1,0
191,1732679020.5722768,4.6253204345703125e-05,1516,1,4155634161,1448,518255497,-1,-1,-1,-1,-1,0
192,1732679020.5723016,2.47955322265625e-05,1316,1,4155635609,1248,518255497,7,24,4120,33,-1,1
192,1732679020.5723016,0.0,1316,1,4155635609,1248,518255497,5,0,24,33,-1,0
193,1732679020.5741005,0.001798868179321289,68,0,518255497,0,4155635609,-1,-1,-1,-1,-1,0
194,1732679020.5741005,0.0,140,0,793691436,72,594326222,4,0,72,8212,6,0
195,1732679020.5741007,2.384185791015625e-07,140,0,518255497,72,4155636857,4,0,72,34,2,0
196,1732679020.5742047,0.00010395050048828125,1516,1,594326222,1448,793691508,-1,-1,-1,-1,-1,0
197,1732679020.5742364,3.170967102050781e-05,1516,1,594327670,1448,793691508,-1,-1,-1,-1,-1,0
198,1732679020.5742605,2.4080276489257812e-05,1316,1,594329118,1248,793691508,7,24,4120,8212,-1,1
198,1732679020.5742605,0.0,1316,1,594329118,1248,793691508,5,0,24,8212,-1,0
199,1732679020.5744777,0.00021719932556152344,1516,1,4155636857,1448,518255569,-1,-1,-1,-1,-1,0
200,1732679020.574512,3.4332275390625e-05,1516,1,4155638305,1448,518255569,-1,-1,-1,-1,-1,0
201,1732679020.5745356,2.3603439331054688e-05,1316,1,4155639753,1248,518255569,7,24,4120,34,-1,1
201,1732679020.5745356,0.0,1316,1,4155639753,1248,518255569,5,0,24,34,-1,0
202,1732679020.5760517,0.001516103744506836,68,0,793691508,0,594329118,-1,-1,-1,-1,-1,0
203,1732679020.5767007,0.0006489753723144531,68,0,518255569,0,4155639753,-1,-1,-1,-1,-1,0
204,1732679020.5785384,0.0018377304077148438,140,0,518255569,72,4155641001,4,0,72,35,2,0
205,1732679020.5788093,0.000270843505859375,1516,1,4155641001,1448,518255641,-1,-1,-1,-1,-1,0
206,1732679020.5788505,4.124641418457031e-05,1516,1,4155642449,1448,518255641,-1,-1,-1,-1,-1,0
207,1732679020.5788748,2.4318695068359375e-05,1316,1,4155643897,1248,518255641,7,24,4120,35,-1,1
207,1732679020.5788748,0.0,1316,1,4155643897,1248,518255641,5,0,24,35,-1,0
208,1732679020.5805829,0.0017080307006835938,68,0,518255641,0,4155643897,-1,-1,-1,-1,-1,0
209,1732679020.5816417,0.001058816909790039,68,0,3847803978,0,1329099968,-1,-1,-1,-1,-1,0
210,1732679020.5824814,0.0008397102355957031,140,0,3847803978,72,1329099968,4,0,72,17,2,0
211,1732679020.5827427,0.0002613067626953125,1516,1,1329099968,1448,3847804050,-1,-1,-1,-1,-1,0
212,1732679020.5827837,4.100799560546875e-05,1516,1,1329101416,1448,3847804050,-1,-1,-1,-1,-1,0
213,1732679020.582807,2.3365020751953125e-05,1316,1,1329102864,1248,3847804050,7,24,4120,17,-1,1
213,1732679020.582807,0.0,1316,1,1329102864,1248,3847804050,5,0,24,17,-1,0
214,1732679020.583588,0.0007808208465576172,68,0,3953253959,0,1487854170,-1,-1,-1,-1,-1,0
215,1732679020.5844436,0.0008556842803955078,68,0,3847804050,0,1329102864,-1,-1,-1,-1,-1,0
216,1732679020.5844438,2.384185791015625e-07,68,0,3847804050,0,1329104112,-1,-1,-1,-1,-1,0
217,1732679020.5857475,0.0013036727905273438,68,0,2743247743,0,2319451700,-1,-1,-1,-1,-1,0
218,1732679020.5868025,0.001055002212524414,140,0,3953253959,72,1487854170,4,0,72,1,2,0
219,1732679020.5870264,0.0002238750457763672,1516,1,1487854170,1448,3953254031,-1,-1,-1,-1,-1,0
220,1732679020.5870626,3.62396240234375e-05,1516,1,1487855618,1448,3953254031,-1,-1,-1,-1,-1,0
221,1732679020.5870872,2.4557113647460938e-05,1316,1,1487857066,1248,3953254031,7,24,4120,1,-1,1
221,1732679020.5870872,0.0,1316,1,1487857066,1248,3953254031,5,0,24,1,-1,0
222,1732679020.58875,0.0016627311706542969,68,0,3953254031,0,1487857066,-1,-1,-1,-1,-1,0
223,1732679020.58875,0.0,68,0,3953254031,0,1487858314,-1,-1,-1,-1,-1,0
224,1732679020.5887501,2.384185791015625e-07,140,0,3953254031,72,1487858314,4,0,72,2,2,0
225,1732679020.588994,0.00024390220642089844,1516,1,1487858314,1448,3953254103,-1,-1,-1,-1,-1,0
226,1732679020.589033,3.886222839355469e-05,1516,1,1487859762,1448,3953254103,-1,-1,-1,-1,-1,0
227,1732679020.5890596,2.6702880859375e-05,1316,1,1487861210,1248,3953254103,7,24,4120,2,-1,1
